C24,C64,t0,c6,pos,injected,scenario_id,k,expected_sigma,recipe_normal
SIM_CH_1,C64_9734_CH_1,1545620145.2,C6_0,1,False,,-1,0.0,True
SIM_CH_1,C64_9674_CH_1,1545624887.1,C6_0,2,False,,-1,0.0,True
SIM_CH_1,C64_9670_CH_1,1545625001.2,C6_0,3,False,,-1,0.0,True
SIM_CH_1,C64_9678_CH_1,1545625823.4,C6_0,4,False,,-1,0.0,True
SIM_CH_1,C64_9665_CH_1,1545626072.5,C6_0,5,False,,-1,0.0,True
SIM_CH_1,C64_9647_CH_1,1545627612.3,C6_0,6,False,,-1,0.0,True
SIM_CH_1,C64_9611_CH_1,1545630463.1,C6_0,7,False,,-1,0.0,True
SIM_CH_1,C64_9615_CH_1,1545631024.2,C6_0,8,False,,-1,0.0,True
SIM_CH_1,C64_9581_CH_1,1545631297.3,C6_0,9,False,,-1,0.0,True
SIM_CH_1,C64_9587_CH_1,1545631765.5,C6_0,10,False,,-1,0.0,True
SIM_CH_1,C64_9592_CH_1,1545632461.8,C6_0,11,False,,-1,0.0,True
SIM_CH_1,C64_9532_CH_1,1545641171.1,C6_0,12,False,,-1,0.0,True
SIM_CH_1,C64_9538_CH_1,1545641528.2,C6_0,13,False,,-1,0.0,True
SIM_CH_1,C64_9515_CH_1,1545643854.2,C6_0,14,False,,-1,0.0,True
SIM_CH_1,C64_9486_CH_1,1545648236.5,C6_0,15,False,,-1,0.0,True
SIM_CH_1,C64_9471_CH_1,1545648746.2,C6_0,16,False,,-1,0.0,True
SIM_CH_1,C64_9475_CH_1,1545649211.4,C6_0,17,False,,-1,0.0,True
SIM_CH_1,C64_9479_CH_1,1545649673.6,C6_0,18,False,,-1,0.0,True
SIM_CH_1,C64_9435_CH_1,1545653371.5,C6_0,19,False,,-1,0.0,True
SIM_CH_1,C64_9440_CH_1,1545653935.2,C6_0,20,False,,-1,0.0,True
SIM_CH_1,C64_9420_CH_1,1545657506.8,C6_0,21,False,,-1,0.0,True
SIM_CH_1,C64_9427_CH_1,1545658326.1,C6_0,22,False,,-1,0.0,True
SIM_CH_1,C64_9431_CH_1,1545658788.3,C6_0,23,False,,-1,0.0,True
SIM_CH_1,C64_10730_CH_1,1545673010.3,C6_0,24,False,,-1,0.0,True
SIM_CH_1,C64_10724_CH_1,1545673232.4,C6_0,25,False,,-1,0.0,True
SIM_CH_1,C64_10703_CH_1,1545675945.4,C6_0,26,False,,-1,0.0,True
SIM_CH_1,C64_10680_CH_1,1545676569.7,C6_0,27,False,,-1,0.0,True
SIM_CH_1,C64_10676_CH_1,1545676908.8,C6_0,28,False,,-1,0.0,True
SIM_CH_1,C64_10608_CH_1,1545686524.7,C6_0,29,False,,-1,0.0,True
SIM_CH_1,C64_10598_CH_1,1545689213.8,C6_0,30,False,,-1,0.0,True
SIM_CH_1,C64_10569_CH_1,1545690723.6,C6_0,31,False,,-1,0.0,True
SIM_CH_1,C64_10534_CH_1,1545693856.6,C6_0,32,False,,-1,0.0,True
SIM_CH_1,C64_10539_CH_1,1545694760.1,C6_0,33,False,,-1,0.0,True
SIM_CH_1,C64_10529_CH_1,1545694871.4,C6_0,34,False,,-1,0.0,True
SIM_CH_1,C64_10525_CH_1,1545695612.2,C6_0,35,False,,-1,0.0,True
SIM_CH_1,C64_10518_CH_1,1545696191.3,C6_0,36,False,,-1,0.0,True
SIM_CH_1,C64_10486_CH_1,1545697268.8,C6_0,37,False,,-1,0.0,True
SIM_CH_1,C64_10424_CH_1,1545703562.4,C6_0,38,False,,-1,0.0,True
SIM_CH_1,C64_10428_CH_1,1545703796.4,C6_0,39,False,,-1,0.0,True
SIM_CH_1,C64_10401_CH_1,1545704774.8,C6_0,40,False,,-1,0.0,True
SIM_CH_1,C64_10407_CH_1,1545705564.2,C6_0,41,False,,-1,0.0,True
SIM_CH_1,C64_10381_CH_1,1545706410.6,C6_0,42,False,,-1,0.0,True
SIM_CH_1,C64_10385_CH_1,1545707106.9,C6_0,43,False,,-1,0.0,True
SIM_CH_1,C64_10370_CH_1,1545708076.5,C6_0,44,False,,-1,0.0,True
SIM_CH_1,C64_10375_CH_1,1545708637.8,C6_0,45,False,,-1,0.0,True
SIM_CH_1,C64_10330_CH_1,1545709847.3,C6_0,46,False,,-1,0.0,True
SIM_CH_1,C64_10337_CH_1,1545709961.4,C6_0,47,False,,-1,0.0,True
SIM_CH_1,C64_10309_CH_1,1545711273.4,C6_0,48,False,,-1,0.0,True
SIM_CH_1,C64_10284_CH_1,1545712695.6,C6_0,49,False,,-1,0.0,True
SIM_CH_1,C64_10292_CH_1,1545713418.9,C6_0,50,False,,-1,0.0,True
SIM_CH_1,C64_10275_CH_1,1545713899.2,C6_0,51,False,,-1,0.0,True
SIM_CH_1,C64_10279_CH_1,1545714463.5,C6_0,52,False,,-1,0.0,True
SIM_CH_1,C64_10246_CH_1,1545716507.4,C6_0,53,False,,-1,0.0,True
SIM_CH_1,C64_10252_CH_1,1545717194.7,C6_0,54,False,,-1,0.0,True
SIM_CH_1,C64_10257_CH_1,1545717758.9,C6_0,55,False,,-1,0.0,True
SIM_CH_1,C64_10229_CH_1,1545718737.2,C6_0,56,False,,-1,0.0,True
SIM_CH_1,C64_10222_CH_1,1545719082.4,C6_0,57,False,,-1,0.0,True
SIM_CH_1,C64_10177_CH_1,1545736297.2,C6_0,58,False,,-1,0.0,True
SIM_CH_1,C64_10183_CH_1,1545736993.6,C6_0,59,False,,-1,0.0,True
SIM_CH_1,C64_10148_CH_1,1545741840.4,C6_0,60,False,,-1,0.0,True
SIM_CH_1,C64_10154_CH_1,1545742533.7,C6_0,61,False,,-1,0.0,True
