chamber_id,recipe_id,step,sensor_window,sensor_id,n_wafers,n_used,center,sigma,ucl,lcl,cv,sample_min,sample_max,n_distinct,false_alarm_pct,qa_flags,limit_version,trigger_type,calc_window_n,k_sigma,q_low,q_high,q_lcl,q_ucl,created_at
C24_0,C6_0,1,settled,C11,6814,6768,-1.0358099062918338,0.12438736713199355,-0.6626478048958531,-1.4089720076878145,0.1201,-1.5,-1.0,6,6.355,deadband_floored;high_false_alarm,v1,initial,6768,3.0,0.00135,0.99865,-2.0,-0.7500000000000002,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,1,settled,C15,6814,6814,2.954,3.83467348771729,14.458020463151872,-8.55002046315187,1.2981,0.0,11.5,6,0.0,deadband_floored;wide_limits;high_cv,v1,initial,6814,3.0,0.00135,0.99865,-0.75,11.5,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,1,settled,C16,6814,6814,39.553666666666665,46.2921310354663,178.43005977306555,-99.32272643973224,1.1704,0.0,117.5,8,0.0,wide_limits;high_cv,v1,initial,6814,3.0,0.00135,0.99865,0.0,117.5,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,1,settled,C17,6814,6680,109.59775967413442,14.203287700987502,152.20762277709693,66.98789657117192,0.1296,81.0,142.66666666666666,242,0.66,,v1,initial,6680,3.0,0.00135,0.99865,77.0,172.13578333333348,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,1,settled,C31,6814,6814,0.0,0.0,0.0,0.0,,0.0,0.0,1,0.0,zero_sigma,v1,initial,6814,3.0,0.00135,0.99865,0.0,0.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,1,settled,C32,6814,6814,0.0,0.0,0.0,0.0,,0.0,0.0,1,0.0,zero_sigma,v1,initial,6814,3.0,0.00135,0.99865,0.0,0.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,1,settled,C57,6814,6796,11.0,0.0,11.499999999999998,10.500000000000002,0.0,11.0,11.0,4,0.044,zero_sigma;deadband_floored,v1,initial,6796,3.0,0.00135,0.99865,10.500000000000002,11.499999999999998,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,1,settled,C58,6814,6800,11.988100000000003,0.004483060820627232,12.001549182461885,11.974650817538121,0.0004,11.979999999999999,12.0,12,0.0,,v1,initial,6800,3.0,0.00135,0.99865,11.976666666666667,12.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,1,settled,C61,6814,6700,-248.62533875338755,4.754512277231607,-234.36180192169275,-262.88887558508236,0.0191,-255.33333333333334,-234.0,118,1.145,,v1,initial,6700,3.0,0.00135,0.99865,-258.3333333333333,-228.19142499999953,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,1,settled,C62,6814,6689,-3657.935034013605,5.225183499903428,-3642.259483513895,-3673.6105845133156,0.0014,-3671.6666666666665,-3646.0,145,0.69,,v1,initial,6689,3.0,0.00135,0.99865,-3677.6008166666666,-3642.5,2026-08-06T09:04:36.205914+00:00
