chamber_id,recipe_id,step,sensor_window,sensor_id,decision,method,decision_reason,activity_ratio,mag_ratio,n_distinct,range,sigma,cv,false_alarm_pct,qa_flags
C24_0,C6_0,1,settled,C11,EXCLUDE?,sigma,quasi_off(활성도 0.4%·크기 0.5% — 해당 step 비활성),0.0037,0.0047,5,0.5,0.1232999846516783,0.119,5.8,high_false_alarm
C24_0,C6_0,1,settled,C15,KEEP,sigma,active_normal,0.1394,0.0496,5,11.5,3.745032425636856,1.2678,0.0,wide_limits;high_cv
C24_0,C6_0,1,settled,C16,KEEP,sigma,active_normal,0.1722,0.061,7,117.5,45.91879938115267,1.1609,0.0,wide_limits;high_cv
C24_0,C6_0,1,settled,C17,KEEP,sigma,active_normal,1.0,0.444,150,81.33333333333334,14.690073065556115,0.134,1.4,
C24_0,C6_0,1,settled,C31,EXCLUDE,sigma,dead(상수 — 물리적 OFF),0.0,0.0,1,0.0,0.0,,0.0,zero_sigma
C24_0,C6_0,1,settled,C32,EXCLUDE,sigma,dead(상수 — 물리적 OFF),0.0,0.0,1,0.0,0.0,,0.0,zero_sigma
C24_0,C6_0,1,settled,C57,EXCLUDE,sigma,dead(상수 — 물리적 OFF),0.0,0.9689,1,0.0,0.0,0.0,0.0,zero_sigma
C24_0,C6_0,1,settled,C58,KEEP,sigma,active_normal,0.0494,0.9997,8,0.019999999999999574,0.0045298927963456,0.0004,0.0,
C24_0,C6_0,1,settled,C61,KEEP*,quantile,active_nonnormal(→보완② 관리선 방식 재검토),0.0261,0.2387,57,19.5,3.387624302382335,0.0136,3.6,high_false_alarm
C24_0,C6_0,1,settled,C62,KEEP,sigma,active_normal,0.0038,1.0,71,20.666666666666515,3.495920212670132,0.001,2.0,
C24_0,C6_0,1,settled,C63,KEEP,sigma,active_normal,1.0,0.5112,137,290.5,86.34605928360598,0.2452,0.0,
C24_0,C6_0,1,settled,C9,KEEP,sigma,active_normal,1.0,0.6014,411,26.5855,6.525606557034171,0.1692,0.0,
C24_0,C6_0,1,settled,D_VDC_RES,EXCLUDE,sigma,F14_drift_dominated_no_alarm_value(→PM/recalib_trigger_backlog),0.0446,1.0,24,6.0,1.5307811745429505,0.0046,0.4,
C24_0,C6_0,4,settled,C11,KEEP,sigma,active_normal,1.0,1.0,181,135.0,35.619355213911064,0.1605,0.0,
C24_0,C6_0,4,settled,C15,KEEP,sigma,active_normal,1.0,1.0,8,82.5,36.29323243711755,0.6091,0.0,wide_limits;high_cv
C24_0,C6_0,4,settled,C16,KEEP,sigma,active_normal,1.0,1.0,24,682.5,310.7674814762334,0.4796,0.0,wide_limits
C24_0,C6_0,4,settled,C17,KEEP,sigma,active_normal,0.0922,1.0,15,7.5,2.053581051931576,0.0083,0.0,
C24_0,C6_0,4,settled,C31,KEEP,sigma,active_normal,1.0,1.0,160,109.0,29.643992041961575,0.1821,0.0,
C24_0,C6_0,4,settled,C32,KEEP,sigma,active_normal,0.25,1.0,7,1.5,0.4448106268981427,0.7086,0.6,wide_limits;high_cv
C24_0,C6_0,4,settled,C57,KEEP*,quantile,active_nonnormal(→보완② 관리선 방식 재검토),1.0,1.0,8,3.0,0.6880690573923097,0.0606,5.2,high_false_alarm
C24_0,C6_0,4,settled,C58,KEEP*,quantile,active_nonnormal(→보완② 관리선 방식 재검토),1.0,1.0,69,0.40499999999999936,0.0622258928868564,0.0052,5.4,high_false_alarm
C24_0,C6_0,4,settled,C61,KEEP,sigma,active_normal,0.1698,1.0,193,127.0,33.210229821564546,0.0319,0.2,
C24_0,C6_0,4,settled,C62,KEEP,sigma,active_normal,0.0105,0.5005,104,56.5,12.703786287664208,0.0069,0.6,
C24_0,C6_0,4,settled,C63,KEEP,sigma,active_normal,0.0327,0.3194,23,9.5,2.219741857175865,0.0101,0.0,
C24_0,C6_0,4,settled,C9,KEEP,sigma,active_normal,0.1281,1.0,134,3.4054999999999964,0.8799358848713172,0.0137,0.0,
